Folio,Edad,Grado,Sexo,EDP,NSE,ZDR,L001,L002,L003,L004,L005
132,18,0,0,1,1,3,3,2,4,1,4
133,17,0,1,1,1,0,5,3,4,4,6
134,17,0,0,1,1,2,3,1,6,1,3
135,15,0,1,1,1,3,5,5,6,1,6
136,17,0,1,1,1,0,6,3,6,3,5
137,17,0,0,1,1,2,1,6,6,1,6
138,16,0,0,1,1,2,2,3,3,1,6
139,17,0,0,1,1,0,3,3,4,1,5
140,17,0,1,1,1,2,4,5,6,1,4
141,17,0,1,1,1,2,4,4,5,1,3
142,16,0,0,1,1,3,2,1,3,1,6
143,16,0,1,1,1,2,5,4,6,1,4
144,15,0,0,1,1,2,1,2,5,2,5
145,16,0,1,1,1,0,2,3,3,6,3
146,16,0,0,1,1,2,1,3,6,1,5
147,17,0,0,1,1,0,5,2,3,2,6
148,17,0,1,1,1,2,5,5,2,1,6
149,16,0,1,1,2,3,4,6,3,1,5
150,16,0,1,1,1,2,6,4,6,1,5
151,17,0,1,1,1,2,4,3,6,1,6
152,16,0,0,1,2,2,6,1,6,2,6
153,16,0,1,1,1,2,5,1,3,1,6
154,17,0,0,1,1,3,6,1,6,1,2
155,16,0,0,1,1,1,1,6,5,1,6
156,18,0,1,1,1,2,1,1,2,2,5
157,15,0,1,1,2,2,3,6,1,2,1
158,17,0,1,1,1,3,5,3,5,2,4
159,19,0,1,1,1,2,2,3,4,1,2
160,15,0,0,1,1,3,1,1,5,1,5
161,17,0,1,1,1,2,3,1,4,1,6
162,17,0,1,1,1,2,6,2,5,3,4
163,16,0,0,1,1,3,3,4,4,1,5
164,17,0,1,1,1,3,3,3,4,1,2
165,15,0,1,1,1,3,1,2,4,1,2
166,17,0,0,1,1,2,4,1,3,1,6
167,16,0,1,1,1,2,3,4,3,5,3
168,16,0,0,1,1,2,6,1,5,1,6
169,16,0,1,1,1,3,4,3,6,2,4
170,17,0,1,1,1,2,1,4,6,1,6
171,16,0,1,1,1,2,2,3,6,2,5
172,16,0,1,1,1,3,3,4,6,1,6
173,17,0,0,1,1,2,3,1,4,1,5
174,16,0,0,1,1,2,1,1,5,4,3
175,17,0,0,1,1,2,1,3,6,5,6
176,17,0,1,1,1,0,2,3,5,1,5
177,15,0,0,1,1,2,1,3,3,5,5
178,16,0,0,1,1,2,2,1,3,1,4
179,16,0,0,1,1,2,1,2,6,1,2
180,16,0,0,1,1,2,6,1,1,3,2
